,Формулировка,Число запросов,"Топ частотных запросов «книги», 25.09.2024 — 25.10.2024, все регионы, все устройства"
0,книги,32044620,
1,книги бесплатно,4232930,
2,книга читана,3836324,
3,читать книги,3836175,
4,читаем книги,3836120,
